Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC,ABC_Seed
0.765625,0.7575757575757576,0.78125,0.7741935483870968,0.75,0.7692307692307693,0.7763975155279503,0.765625,0.531509589558614,41
0.828125,0.8,0.875,0.8620689655172413,0.78125,0.835820895522388,0.8588957055214724,0.828125,0.6591530616030618,42
0.796875,0.8275862068965517,0.75,0.7714285714285715,0.84375,0.7868852459016393,0.7643312101910829,0.796875,0.5963765795456273,43
0.765625,0.7575757575757576,0.78125,0.7741935483870968,0.75,0.7692307692307693,0.7763975155279503,0.765625,0.531509589558614,44
0.640625,0.6666666666666666,0.5625,0.6216216216216216,0.71875,0.6101694915254238,0.5806451612903226,0.640625,0.2847473987257497,45
0.78125,0.8,0.75,0.7647058823529411,0.8125,0.7741935483870968,0.759493670886076,0.78125,0.5636018619766345,46
0.765625,0.7741935483870968,0.75,0.7575757575757576,0.78125,0.7619047619047619,0.7547169811320755,0.765625,0.531509589558614,47
0.78125,0.8214285714285714,0.71875,0.75,0.84375,0.7666666666666667,0.7371794871794872,0.78125,0.5669467095138409,48
0.796875,0.8064516129032258,0.78125,0.7878787878787878,0.8125,0.7936507936507936,0.7861635220125787,0.796875,0.5940401295066863,49
0.765625,0.7428571428571429,0.8125,0.7931034482758621,0.71875,0.7761194029850746,0.7975460122699386,0.765625,0.5336000974881928,50
0.765625,0.7741935483870968,0.75,0.7575757575757576,0.78125,0.7619047619047619,0.7547169811320755,0.765625,0.531509589558614,51
0.796875,0.7878787878787878,0.8125,0.8064516129032258,0.78125,0.8,0.8074534161490683,0.796875,0.5940401295066863,52
0.796875,0.8064516129032258,0.78125,0.7878787878787878,0.8125,0.7936507936507936,0.7861635220125787,0.796875,0.5940401295066863,53
0.765625,0.7931034482758621,0.71875,0.7428571428571429,0.8125,0.7540983606557377,0.732484076433121,0.765625,0.5336000974881928,54
0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.5625,55
0.75,0.7857142857142857,0.6875,0.7222222222222222,0.8125,0.7333333333333333,0.7051282051282052,0.75,0.5039526306789696,56
0.796875,0.7878787878787878,0.8125,0.8064516129032258,0.78125,0.8,0.8074534161490683,0.796875,0.5940401295066863,57
0.796875,0.8064516129032258,0.78125,0.7878787878787878,0.8125,0.7936507936507936,0.7861635220125787,0.796875,0.5940401295066863,58
0.796875,0.8064516129032258,0.78125,0.7878787878787878,0.8125,0.7936507936507936,0.7861635220125787,0.796875,0.5940401295066863,59
0.75,0.7352941176470589,0.78125,0.7666666666666667,0.71875,0.7575757575757576,0.7716049382716049,0.75,0.5009794328681196,60
0.796875,0.7878787878787878,0.8125,0.8064516129032258,0.78125,0.8,0.8074534161490683,0.796875,0.5940401295066863,61
0.796875,0.7878787878787878,0.8125,0.8064516129032258,0.78125,0.8,0.8074534161490683,0.796875,0.5940401295066863,62
0.6875,0.6666666666666666,0.75,0.7142857142857143,0.625,0.7058823529411765,0.7317073170731707,0.6875,0.3779644730092272,63
0.734375,0.7586206896551724,0.6875,0.7142857142857143,0.78125,0.7213114754098361,0.7006369426751592,0.734375,0.47082361543075835,64
0.765625,0.7741935483870968,0.75,0.7575757575757576,0.78125,0.7619047619047619,0.7547169811320755,0.765625,0.531509589558614,65
0.828125,0.7837837837837838,0.90625,0.8888888888888888,0.75,0.8405797101449275,0.8787878787878788,0.828125,0.6644105970267493,66
0.765625,0.7575757575757576,0.78125,0.7741935483870968,0.75,0.7692307692307693,0.7763975155279503,0.765625,0.531509589558614,67
0.765625,0.7428571428571429,0.8125,0.7931034482758621,0.71875,0.7761194029850746,0.7975460122699386,0.765625,0.5336000974881928,68
0.765625,0.7741935483870968,0.75,0.7575757575757576,0.78125,0.7619047619047619,0.7547169811320755,0.765625,0.531509589558614,69
0.75,0.7352941176470589,0.78125,0.7666666666666667,0.71875,0.7575757575757576,0.7716049382716049,0.75,0.5009794328681196,70
