Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC,ABC_Seed
0.75,0.7857142857142857,0.6875,0.7222222222222222,0.8125,0.7333333333333333,0.7051282051282052,0.75,0.5039526306789696,41
0.71875,0.6944444444444444,0.78125,0.75,0.65625,0.7352941176470589,0.7621951219512195,0.71875,0.44095855184409843,42
0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.625,43
0.75,0.7666666666666667,0.71875,0.7352941176470589,0.78125,0.7419354838709677,0.7278481012658228,0.75,0.5009794328681196,44
0.828125,0.8387096774193549,0.8125,0.8181818181818182,0.84375,0.8253968253968254,0.8176100628930818,0.828125,0.6565706694547585,45
0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.5625,46
0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.625,47
0.8125,0.7631578947368421,0.90625,0.8846153846153846,0.71875,0.8285714285714286,0.8734939759036144,0.8125,0.6362847629757777,48
0.8125,0.7777777777777778,0.875,0.8571428571428571,0.75,0.8235294117647058,0.8536585365853658,0.8125,0.629940788348712,49
0.734375,0.7419354838709677,0.71875,0.7272727272727273,0.75,0.7301587301587301,0.7232704402515723,0.734375,0.4689790496105418,50
0.828125,0.8620689655172413,0.78125,0.8,0.875,0.819672131147541,0.7961783439490446,0.828125,0.6591530616030618,51
0.78125,0.7368421052631579,0.875,0.8461538461538461,0.6875,0.8,0.8433734939759037,0.78125,0.5726562866782,52
0.796875,0.7878787878787878,0.8125,0.8064516129032258,0.78125,0.8,0.8074534161490683,0.796875,0.5940401295066863,53
0.765625,0.8148148148148148,0.6875,0.7297297297297297,0.84375,0.7457627118644068,0.7096774193548387,0.765625,0.5378561975930828,54
0.78125,0.8214285714285714,0.71875,0.75,0.84375,0.7666666666666667,0.7371794871794872,0.78125,0.5669467095138409,55
0.78125,0.7647058823529411,0.8125,0.8,0.75,0.7878787878787878,0.8024691358024691,0.78125,0.5636018619766345,56
0.859375,0.8709677419354839,0.84375,0.8484848484848485,0.875,0.8571428571428571,0.8490566037735849,0.859375,0.7191012094028307,57
0.765625,0.7741935483870968,0.75,0.7575757575757576,0.78125,0.7619047619047619,0.7547169811320755,0.765625,0.531509589558614,58
0.765625,0.7428571428571429,0.8125,0.7931034482758621,0.71875,0.7761194029850746,0.7975460122699386,0.765625,0.5336000974881928,59
0.8125,0.8333333333333334,0.78125,0.7941176470588235,0.84375,0.8064516129032258,0.7911392405063291,0.8125,0.6262242910851495,60
0.8125,0.7631578947368421,0.90625,0.8846153846153846,0.71875,0.8285714285714286,0.8734939759036144,0.8125,0.6362847629757777,61
0.703125,0.7407407407407407,0.625,0.6756756756756757,0.78125,0.6779661016949152,0.6451612903225806,0.703125,0.41130179815941625,62
0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.375,63
0.75,0.7666666666666667,0.71875,0.7352941176470589,0.78125,0.7419354838709677,0.7278481012658228,0.75,0.5009794328681196,64
0.8125,0.7941176470588235,0.84375,0.8333333333333334,0.78125,0.8181818181818182,0.8333333333333334,0.8125,0.6262242910851495,65
0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.6875,66
0.78125,0.8214285714285714,0.71875,0.75,0.84375,0.7666666666666667,0.7371794871794872,0.78125,0.5669467095138409,67
0.734375,0.7419354838709677,0.71875,0.7272727272727273,0.75,0.7301587301587301,0.7232704402515723,0.734375,0.4689790496105418,68
0.75,0.7666666666666667,0.71875,0.7352941176470589,0.78125,0.7419354838709677,0.7278481012658228,0.75,0.5009794328681196,69
0.640625,0.6666666666666666,0.5625,0.6216216216216216,0.71875,0.6101694915254238,0.5806451612903226,0.640625,0.2847473987257497,70
