Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Iteration,Fitness
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,1,0.5752927672351142
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,2,0.5918607692762643
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,3,0.5918607692762643
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,4,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,5,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,6,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,7,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,8,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,9,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,10,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,11,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,12,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,13,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,14,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,15,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,16,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,17,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,18,0.632733922977285
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,19,0.6423751838593734
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,20,0.6423751838593734
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,21,0.6423751838593734
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,22,0.6423751838593734
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,23,0.6516294553832185
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,24,0.6516294553832185
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,25,0.6516294553832185
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,26,0.6516294553832185
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,27,0.6516294553832185
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,28,0.6516294553832185
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,29,0.6516294553832185
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,30,0.6546866202667638
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,31,0.6891608388756032
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,32,0.6891608388756032
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,33,0.6891608388756032
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,34,0.6891608388756032
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,101,35,0.6891608388756032
