Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Iteration,Fitness
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,1,0.47333186482880363
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,2,0.4961795396890265
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,3,0.5058011562714144
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,4,0.5173115757655655
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,5,0.5276587821582011
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,6,0.5397022621879246
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,7,0.5397022621879246
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,8,0.5451435446694286
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,9,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,10,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,11,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,12,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,13,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,14,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,15,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,16,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,17,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,18,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,19,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,20,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,21,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,22,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,23,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,24,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,25,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,26,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,27,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,28,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,29,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,30,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,31,0.5930742249246925
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,32,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,33,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,34,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,35,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,36,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,37,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,38,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,39,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,40,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,41,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,42,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,43,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,44,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,45,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,46,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,47,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,48,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,49,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,50,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,51,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,52,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,53,0.5953238815640427
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,54,0.5997108945647258
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,55,0.5997108945647258
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,56,0.5997108945647258
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,57,0.5997108945647258
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,58,0.5997108945647258
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,59,0.5997108945647258
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,60,0.5997108945647258
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,61,0.5997108945647258
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,62,0.5997108945647258
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,63,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,64,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,65,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,66,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,67,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,68,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,69,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,70,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,71,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,72,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,73,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,74,0.6063602479342538
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,75,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,76,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,77,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,78,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,79,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,80,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,81,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,82,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,83,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,84,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,85,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,86,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,87,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,88,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,89,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,90,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,91,0.6094305677923997
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,92,0.609548534935334
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,93,0.609548534935334
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,94,0.609548534935334
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,95,0.609548534935334
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,96,0.609548534935334
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,97,0.609548534935334
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,98,0.609548534935334
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,99,0.609548534935334
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,101,100,0.609548534935334
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,1,0.49002647778288844
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,2,0.49029578657242223
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,3,0.5011021238478865
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,4,0.5228521501191015
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,5,0.5296268441719609
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,6,0.5296268441719609
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,7,0.5296268441719609
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,8,0.5322510138260166
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,9,0.5322510138260166
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,10,0.5322510138260166
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,11,0.5322510138260166
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,12,0.5322510138260166
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,13,0.5322510138260166
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,14,0.5492430291754253
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,15,0.5496099049410361
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,16,0.5496099049410361
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,17,0.5613352388869517
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,18,0.5613352388869517
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,19,0.5613352388869517
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,20,0.5613352388869517
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,21,0.5613352388869517
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,22,0.5613352388869517
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,23,0.5613352388869517
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,24,0.5613352388869517
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,25,0.5700743407522135
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,26,0.5700743407522135
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,27,0.5700743407522135
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,28,0.5724526503412544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,29,0.5724526503412544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,30,0.5724526503412544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,31,0.5724526503412544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,32,0.5724526503412544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,33,0.5724526503412544
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,34,0.5730717752638284
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,35,0.5744289488913041
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,36,0.5744330850060482
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,37,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,38,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,39,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,40,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,41,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,42,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,43,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,44,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,45,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,46,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,47,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,48,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,49,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,50,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,51,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,52,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,53,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,54,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,55,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,56,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,57,0.5948983202535982
ABC_CVEnsemble_RELM,34,0.125,sigmoid,0,102,58,0.5948983202535982
