Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC,ABC_Seed
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,41
0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.5625,42
0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.625,43
0.75,0.7352941176470589,0.78125,0.7666666666666667,0.71875,0.7575757575757576,0.7716049382716049,0.75,0.5009794328681196,44
0.78125,0.7647058823529411,0.8125,0.8,0.75,0.7878787878787878,0.8024691358024691,0.78125,0.5636018619766345,45
0.703125,0.7096774193548387,0.6875,0.696969696969697,0.71875,0.6984126984126984,0.6918238993710691,0.703125,0.40644850966246954,46
0.71875,0.7333333333333333,0.6875,0.7058823529411765,0.75,0.7096774193548387,0.6962025316455697,0.71875,0.4383570037596047,47
0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.625,48
0.78125,0.7647058823529411,0.8125,0.8,0.75,0.7878787878787878,0.8024691358024691,0.78125,0.5636018619766345,49
0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.6875,50
0.71875,0.75,0.65625,0.6944444444444444,0.78125,0.7,0.6730769230769231,0.71875,0.44095855184409843,51
0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.5625,52
0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.4375,53
0.796875,0.8064516129032258,0.78125,0.7878787878787878,0.8125,0.7936507936507936,0.7861635220125787,0.796875,0.5940401295066863,54
0.828125,0.8888888888888888,0.75,0.7837837837837838,0.90625,0.8135593220338984,0.7741935483870968,0.828125,0.6644105970267493,55
0.8125,0.7941176470588235,0.84375,0.8333333333333334,0.78125,0.8181818181818182,0.8333333333333334,0.8125,0.6262242910851495,56
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,57
0.75,0.7666666666666667,0.71875,0.7352941176470589,0.78125,0.7419354838709677,0.7278481012658228,0.75,0.5009794328681196,58
0.796875,0.7878787878787878,0.8125,0.8064516129032258,0.78125,0.8,0.8074534161490683,0.796875,0.5940401295066863,59
0.796875,0.7878787878787878,0.8125,0.8064516129032258,0.78125,0.8,0.8074534161490683,0.796875,0.5940401295066863,60
0.75,0.8076923076923077,0.65625,0.7105263157894737,0.84375,0.7241379310344828,0.6818181818181818,0.75,0.5090278103806222,61
0.8125,0.7941176470588235,0.84375,0.8333333333333334,0.78125,0.8181818181818182,0.8333333333333334,0.8125,0.6262242910851495,62
0.78125,0.75,0.84375,0.8214285714285714,0.71875,0.7941176470588235,0.823170731707317,0.78125,0.5669467095138409,63
0.765625,0.7741935483870968,0.75,0.7575757575757576,0.78125,0.7619047619047619,0.7547169811320755,0.765625,0.531509589558614,64
0.8125,0.7941176470588235,0.84375,0.8333333333333334,0.78125,0.8181818181818182,0.8333333333333334,0.8125,0.6262242910851495,65
0.734375,0.7419354838709677,0.71875,0.7272727272727273,0.75,0.7301587301587301,0.7232704402515723,0.734375,0.4689790496105418,66
0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.78125,0.5625,67
0.84375,0.8055555555555556,0.90625,0.8928571428571429,0.78125,0.8529411764705882,0.8841463414634146,0.84375,0.6929348671835832,68
0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.4375,69
0.765625,0.7931034482758621,0.71875,0.7428571428571429,0.8125,0.7540983606557377,0.732484076433121,0.765625,0.5336000974881928,70
