Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,101,0.71875,0.76,0.6129032258064516,0.6923076923076923,0.8181818181818182,0.6785714285714286,0.6375838926174496,0.7155425219941349,0.44156888639791453
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,102,0.703125,0.75,0.5806451612903226,0.675,0.8181818181818182,0.6545454545454545,0.6081081081081081,0.6994134897360704,0.4117055577420104
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,103,0.6875,0.7619047619047619,0.5161290322580645,0.6511627906976745,0.8484848484848485,0.6153846153846154,0.5517241379310345,0.6823069403714566,0.3880852527001659
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,104,0.75,0.7586206896551724,0.7096774193548387,0.7428571428571429,0.7878787878787878,0.7333333333333333,0.7189542483660131,0.7487781036168133,0.4995131713544373
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,105,0.65625,0.6956521739130435,0.5161290322580645,0.6341463414634146,0.7878787878787878,0.5925925925925926,0.54421768707483,0.6520039100684262,0.3166406918637704
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,106,0.71875,0.782608695652174,0.5806451612903226,0.6829268292682927,0.8484848484848485,0.6666666666666666,0.6122448979591837,0.7145650048875856,0.4469622627916245
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,107,0.765625,0.8333333333333334,0.6451612903225806,0.725,0.8787878787878788,0.7272727272727273,0.6756756756756757,0.7619745845552297,0.5408680856610725
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,108,0.703125,0.75,0.5806451612903226,0.675,0.8181818181818182,0.6545454545454545,0.6081081081081081,0.6994134897360704,0.4117055577420104
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,109,0.671875,0.75,0.4838709677419355,0.6363636363636364,0.8484848484848485,0.5882352941176471,0.5208333333333334,0.6661779081133921,0.3583436921783118
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,110,0.734375,0.8181818181818182,0.5806451612903226,0.6904761904761905,0.8787878787878788,0.6792452830188679,0.6164383561643836,0.7297165200391007,0.4834193782606082
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,111,0.71875,0.782608695652174,0.5806451612903226,0.6829268292682927,0.8484848484848485,0.6666666666666666,0.6122448979591837,0.7145650048875856,0.4469622627916245
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,112,0.671875,0.7083333333333334,0.5483870967741935,0.65,0.7878787878787878,0.6181818181818182,0.5743243243243243,0.6681329423264907,0.34712429378247933
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,113,0.71875,0.7241379310344828,0.6774193548387096,0.7142857142857143,0.7575757575757576,0.7,0.6862745098039216,0.7174975562072337,0.43670601424896777
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,114,0.703125,0.75,0.5806451612903226,0.675,0.8181818181818182,0.6545454545454545,0.6081081081081081,0.6994134897360704,0.4117055577420104
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,115,0.71875,0.7407407407407407,0.6451612903225806,0.7027027027027027,0.7878787878787878,0.6896551724137931,0.6622516556291391,0.7165200391006843,0.43821088921503637
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,116,0.734375,0.7692307692307693,0.6451612903225806,0.7105263157894737,0.8181818181818182,0.7017543859649122,0.6666666666666666,0.7316715542521994,0.4714786730068376
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,117,0.6875,0.72,0.5806451612903226,0.6666666666666666,0.7878787878787878,0.6428571428571429,0.6040268456375839,0.6842619745845553,0.37748632692066614
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,118,0.703125,0.75,0.5806451612903226,0.675,0.8181818181818182,0.6545454545454545,0.6081081081081081,0.6994134897360704,0.4117055577420104
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,119,0.734375,0.7692307692307693,0.6451612903225806,0.7105263157894737,0.8181818181818182,0.7017543859649122,0.6666666666666666,0.7316715542521994,0.4714786730068376
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,120,0.703125,0.7307692307692307,0.6129032258064516,0.6842105263157895,0.7878787878787878,0.6666666666666666,0.6333333333333333,0.7003910068426198,0.4078191053434671
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,121,0.75,0.7586206896551724,0.7096774193548387,0.7428571428571429,0.7878787878787878,0.7333333333333333,0.7189542483660131,0.7487781036168133,0.4995131713544373
Best_Size_and_Lambda_CV_Ensemble,58,0.0625,sigmoid,0,122,0.71875,0.782608695652174,0.5806451612903226,0.6829268292682927,0.8484848484848485,0.6666666666666666,0.6122448979591837,0.7145650048875856,0.4469622627916245
