Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC,ABC_Seed
0.71875,0.7916666666666666,0.59375,0.675,0.84375,0.6785714285714286,0.625,0.71875,0.45184805705753195,161
0.75,0.9,0.5625,0.6818181818181818,0.9375,0.6923076923076923,0.6081081081081081,0.75,0.5393598899705937,162
0.703125,0.8095238095238095,0.53125,0.6511627906976745,0.875,0.6415094339622641,0.5704697986577181,0.703125,0.43261291166581917,163
0.75,0.8636363636363636,0.59375,0.6904761904761905,0.90625,0.7037037037037037,0.6333333333333333,0.75,0.5263613559678152,164
0.734375,0.8571428571428571,0.5625,0.6744186046511628,0.90625,0.6792452830188679,0.6040268456375839,0.734375,0.4991687442297913,165
0.71875,0.8181818181818182,0.5625,0.6666666666666666,0.875,0.6666666666666666,0.6,0.71875,0.4605661864718383,166
0.765625,0.8695652173913043,0.625,0.7073170731707317,0.90625,0.7272727272727273,0.6622516556291391,0.765625,0.5535961676719607,167
0.75,0.8636363636363636,0.59375,0.6904761904761905,0.90625,0.7037037037037037,0.6333333333333333,0.75,0.5263613559678152,168
0.6875,0.8333333333333334,0.46875,0.6304347826086957,0.90625,0.6,0.5136986301369864,0.6875,0.4170288281141495,169
0.765625,0.9473684210526315,0.5625,0.6888888888888889,0.96875,0.7058823529411765,0.6122448979591837,0.765625,0.581387732848254,170
0.703125,0.782608695652174,0.5625,0.6585365853658537,0.84375,0.6545454545454545,0.5960264900662252,0.703125,0.42333824586679347,171
0.6875,0.7307692307692307,0.59375,0.6578947368421053,0.78125,0.6551724137931034,0.6168831168831169,0.6875,0.38177085778546666,172
0.734375,0.8571428571428571,0.5625,0.6744186046511628,0.90625,0.6792452830188679,0.6040268456375839,0.734375,0.4991687442297913,173
0.75,0.8333333333333334,0.625,0.7,0.875,0.7142857142857143,0.6578947368421053,0.75,0.5163977794943222,174
0.734375,0.8571428571428571,0.5625,0.6744186046511628,0.90625,0.6792452830188679,0.6040268456375839,0.734375,0.4991687442297913,175
0.703125,0.8421052631578947,0.5,0.6444444444444445,0.90625,0.6274509803921569,0.54421768707483,0.703125,0.44459061923690013,176
0.734375,0.8260869565217391,0.59375,0.6829268292682927,0.875,0.6909090909090909,0.6291390728476821,0.734375,0.4884672067693771,177
0.703125,0.782608695652174,0.5625,0.6585365853658537,0.84375,0.6545454545454545,0.5960264900662252,0.703125,0.42333824586679347,178
0.71875,0.8181818181818182,0.5625,0.6666666666666666,0.875,0.6666666666666666,0.6,0.71875,0.4605661864718383,179
0.71875,0.85,0.53125,0.6590909090909091,0.90625,0.6538461538461539,0.5743243243243243,0.71875,0.47193990372426947,180
0.71875,0.7916666666666666,0.59375,0.675,0.84375,0.6785714285714286,0.625,0.71875,0.45184805705753195,181
0.765625,0.8695652173913043,0.625,0.7073170731707317,0.90625,0.7272727272727273,0.6622516556291391,0.765625,0.5535961676719607,182
0.734375,0.7777777777777778,0.65625,0.7027027027027027,0.8125,0.711864406779661,0.6774193548387096,0.734375,0.4745789978762495,183
0.6875,0.7727272727272727,0.53125,0.6428571428571429,0.84375,0.6296296296296297,0.5666666666666667,0.6875,0.39477101697586137,184
0.75,0.8333333333333334,0.625,0.7,0.875,0.7142857142857143,0.6578947368421053,0.75,0.5163977794943222,185
0.765625,0.8695652173913043,0.625,0.7073170731707317,0.90625,0.7272727272727273,0.6622516556291391,0.765625,0.5535961676719607,186
0.734375,0.8571428571428571,0.5625,0.6744186046511628,0.90625,0.6792452830188679,0.6040268456375839,0.734375,0.4991687442297913,187
0.6875,0.7727272727272727,0.53125,0.6428571428571429,0.84375,0.6296296296296297,0.5666666666666667,0.6875,0.39477101697586137,188
0.8125,0.9166666666666666,0.6875,0.75,0.9375,0.7857142857142857,0.7236842105263158,0.8125,0.6454972243679028,189
0.75,0.8636363636363636,0.59375,0.6904761904761905,0.90625,0.7037037037037037,0.6333333333333333,0.75,0.5263613559678152,190
